Date,Cage,ID,Treatment,Dose,Length,Width,Survival_Censor
07-Apr,1,R,Control,0,9.4,7.2,0
07-Apr,1,N,Control,0,10.1,6.9,0
07-Apr,1,LR,Control,0,8.9,7.1,0
07-Apr,2,L,HDACi,10,7,4.9,0
07-Apr,2,R,HDACi,10,4.9,4,0
07-Apr,2,N,HDACi,10,13.2,8.8,0
07-Apr,2,LR,HDACi,10,8.1,6.9,0
07-Apr,3,L,HDACi,50,4.9,3.8,0
07-Apr,3,R,HDACi,50,6.1,4.2,0
07-Apr,3,N,HDACi,50,5.1,4.6,0
07-Apr,3,LR,HDACi,50,3.7,3,0
07-Apr,4,L,HDACi,100,6.1,4.2,0
07-Apr,4,R,HDACi,100,1.8,1.4,0
07-Apr,4,N,HDACi,100,2.5,2.1,0
07-Apr,4,LR,HDACi,100,4.1,3,0
09-Apr,1,R,Control,0,13.1,9.9,0
09-Apr,1,N,Control,0,14.5,8.9,0
09-Apr,1,LR,Control,0,11.2,9.8,0
09-Apr,2,L,HDACi,10,9.2,6,0
09-Apr,2,R,HDACi,10,6,5.9,0
09-Apr,2,N,HDACi,10,15.9,10.2,1
09-Apr,2,LR,HDACi,10,9.9,8.2,0
09-Apr,3,L,HDACi,50,6.1,5.2,0
09-Apr,3,R,HDACi,50,8.3,5.1,0
09-Apr,3,N,HDACi,50,6.9,6.1,0
09-Apr,3,LR,HDACi,50,5.2,4.5,0
09-Apr,4,L,HDACi,100,8.8,5.9,0
09-Apr,4,R,HDACi,100,2.4,2.2,0
09-Apr,4,N,HDACi,100,4,3.1,0
09-Apr,4,LR,HDACi,100,5.9,4,0
11-Apr,1,R,Control,0,16.1,12.1,1
11-Apr,1,N,Control,0,17.2,12.2,1
11-Apr,1,LR,Control,0,14.4,12.4,0
11-Apr,2,L,HDACi,10,11.2,7.8,0
11-Apr,2,R,HDACi,10,8.8,7.4,0
11-Apr,2,LR,HDACi,10,13.2,10.1,0
11-Apr,3,L,HDACi,50,8.9,7.5,0
11-Apr,3,R,HDACi,50,9.9,8.9,0
11-Apr,3,N,HDACi,50,9.1,8.8,0
11-Apr,3,LR,HDACi,50,8.4,6.2,0
11-Apr,4,L,HDACi,100,10.4,7.8,0
11-Apr,4,R,HDACi,100,4.2,3.1,0
11-Apr,4,N,HDACi,100,5.9,4.2,0
11-Apr,4,LR,HDACi,100,7.3,5.6,0
14-Apr,1,LR,Control,0,17.9,14.5,0
14-Apr,2,L,HDACi,10,14.2,11.1,0
14-Apr,2,R,HDACi,10,11.2,9.9,0
14-Apr,2,LR,HDACi,10,17.1,15.5,1
14-Apr,3,L,HDACi,50,12.9,9.9,0
14-Apr,3,R,HDACi,50,13.1,10.1,0
14-Apr,3,N,HDACi,50,10.1,9.9,0
14-Apr,3,LR,HDACi,50,11.1,8.9,0
14-Apr,4,L,HDACi,100,12.4,9.8,0
14-Apr,4,R,HDACi,100,5.6,4.9,0
14-Apr,4,N,HDACi,100,7.1,5.4,0
14-Apr,4,LR,HDACi,100,8.9,6,0
16-Apr,1,LR,Control,0,18.8,15.6,1
16-Apr,2,L,HDACi,10,16.1,12.9,1
16-Apr,2,R,HDACi,10,13.9,12.1,0
16-Apr,3,L,HDACi,50,15.4,12.1,0
16-Apr,3,R,HDACi,50,16.4,13.1,1
16-Apr,3,N,HDACi,50,12.9,11.8,0
16-Apr,3,LR,HDACi,50,13.9,12,0
16-Apr,4,L,HDACi,100,15,11.1,0
16-Apr,4,R,HDACi,100,7,6.2,0
16-Apr,4,N,HDACi,100,8.9,6.9,0
16-Apr,4,LR,HDACi,100,10.1,8.2,0
18-Apr,2,R,HDACi,10,14.9,14.2,1
18-Apr,3,L,HDACi,50,17.1,14.4,1
18-Apr,3,N,HDACi,50,14.8,13.3,0
18-Apr,3,LR,HDACi,50,15.6,14.8,1
18-Apr,4,L,HDACi,100,17.4,13.9,1
18-Apr,4,R,HDACi,100,9.1,8.8,0
18-Apr,4,N,HDACi,100,10,8.7,0
18-Apr,4,LR,HDACi,100,11.9,9.9,0
